source_id,source_url,source_author,source_date,cite_date,notes,stone_name_fi,event_date,location_info,stone_name_en,stone_name_sv
laine1888,https://digi.kansalliskirjasto.fi/teos/binding/1915275?term=v%C3%A4kikive%C3%A4&page=36,Juho Laine,1888-01-01,2025-10-22,"Onnen vaiheet: Kokoontuipa taas poikia, muiden muassa Riskikin, kylän tanhualle, ja voimankoetus alkoi. Heitettiin painia, vedettiin kissanhäntää ja väkikarttua sekä nostettiin väkikiveä. Rassin Roisto voitti toiset aivan järestään; mutta Jukka ei ottanut osaa koetuksiin. Jukkaa ei Roisto ollut koskaan voittanut. Sanottiin hänen tahallaan jättävän voiton aina ystävälleen eikä Jukka ruvennut kilpaan kenenkään muiden kanssa, vaan arveli, että koska hän voittaa Roiston ja Roisto voittaa toiset, niin tietäväthän he koettamattakin, kutka heistä ovat väkevimmät.",,,,,
turistforeningsarsbok01011898,https://digi.kansalliskirjasto.fi/aikakausi/binding/963868?term=v%C3%A4kikivi&page=58,, 1898-01-01,2025-10-22,"Nuija-Heikin väkikivi Synsiön kylässä Kangasniemellä on vähän matkaa koilliseen Vehkomäen talosta, taloon päin viettävällä kalliolla. Talon puoliselta suolta on Nuija-Heikki kansan puheen mukaan kantanut tuon kiven kalliolle. Se on länsipuolelta 150 ja itäpuolelta 75 cm korkea, 125 cm pitkä ja 60 cm paksu, eikä siis voi olla kanta-maila tuotu. Kiven kylkeen on joku rahvaan mies epäselvästi hakannut mainitun kiven nimen.",Nuija-Heikin väkikivi,,"Kangasniemi, Hankasalmi, Synsiö",,
leppanen2018,https://www.academia.edu/38489182/_Kivet_kipper%C3%A4ll%C3%A4_asemalla_Suomen_kivip%C3%B6ytien_rakenteen_ja_arkeologisen_kontekstin_analyysi,Jere Leppänen,2018-01-01,2025-10-23,"4.5. Väkikiviä?
Castrén (1886: 35–36) kertoo Haapajärven kihlakunnassa, tarkemmin Pyhäjärven
alueella, kivipöydistä puhuttavan väkikivinä. Castrénin mukaan nimitykset vaihtelevat eri
alueilla, ja toisaalla kiviin viitataan jättiläisten väkikivinä. Termi aukeaa Sarkkisen (2010) Pyhäjärven Kaakkomäki idän kivipöydän tarkastuskertomuksessa: vuosi tarkastuksen jälkeen Sarkkinen sai tiedonannon, jonka mukaan rakennelma olisi tehty 1940-luvulla, mahdollisesti rakentajien voimien näytöksi. Kyseessä on siis luultavasti väkikivi.
Kivipöytä on muista poikkeava, sillä siinä on tasaisen maakiven päällä jalat, joiden päällä
keskikivi ja jonka päällä vielä pyöreä yläkivi. Väkikivi viittaa siis varta vasten kivien
nostamisen vuoksi tehtyihin kivipöytiin. Castrénin kuvailema Haukilampien välissä oleva kivipöytä sijaitsee noin 2,5 km lounaaseen Sarkkisen tarkastamasta kivestä. Myös Haukilampien rakennelmassa on suuren maakiven päällä pieniä kiviä ja niiden päällä laakea kivi. Olisiko kyseessä jokin mahdollisesti paikallinen, sittemmin unohdettu perinne?",,Nuija-Heikin väkikivi,,"Kangasniemi, Hankasalmi, Synsiö",
uusisuometar07071876,https://digi.kansalliskirjasto.fi/sanomalehti/binding/426436?page=6,,1876-07-07,2025-12-05,"Hankasalmeen lohenneitten pitäjäläisten kanssa on waan kowat riidat kassain jakamisesta, sillä he tekewät niin tarkkaa, että kirkosta ynnä pappilan wirkataloista tahtowat osia. Ruiskaswit yleisesti huonon-puoleiset, waan suwi-touon oraat wähän paremmat. Heinät lupaawat hywää satoa. C. lämpömittari on päiwässä osottanut tänään 38½ ja yöllä 20½ astetta. Eihän silloin enään turkkia tarwita. Historiallisia wanhoja nimiä täällä löytyy 2 Hiidennientä, Hiidenluola, Hiislammin kangas, Lappi, Lapinpaasi, Käräjäniemi, Toranlahti, Pirttilahti ja -mäki, Terwamäki, Wawessaari, Lapinsalo, Ison Heikin wäkikiwi ja kalliokirjoitus Synsiön rannalla, Kerinkanta, Simpiö, Salwuri j. n. e.",Ison Heikin väkikivi,,"Kangasniemi, Hankasalmi, Synsiö",,
turistforeningsarsbok01011898,https://digi.kansalliskirjasto.fi/aikakausi/binding/963868?term=v%C3%A4kikivi&page=58,,1898-01-01,2025-10-22,"Jalassyrjän talon maalla Pirttiniemellä Siikajärven itärannalla kuuluu olevan samanlainen kivi, jossa on kirjoitus: Otto Aatunpojan väkikivi. Noiden nimien synnystä ei ole tietoa tallessa.",Otto Aatunpojan väkikivi,,,,
leppanen2018,https://www.academia.edu/38489182/_Kivet_kipper%C3%A4ll%C3%A4_asemalla_Suomen_kivip%C3%B6ytien_rakenteen_ja_arkeologisen_kontekstin_analyysi,Jere Leppänen,2018-01-01,2025-10-23,"Väkikiviperinne ei rajoitu ainoastaan Pyhäjärven seudulle. Paasonen (1889: 146) kuvailee
Mikkelin kihlakunnassa kahta kivipöytää, jotka epäilemättä ovat väkikiviä. Paasosen
mukaan Nuija-Heikin väkikiven sileällä pinnalla teksti: ”TÄ_ON NVIH?IF?I VÄ KIVI”.
Hänen mukaansa kihlakunnasta löytyy myös toinen vastaava kivi, jossa on teksti: ”Otto
Aatunpojan väkikivi”. Kivet ovat ilmeisesti ainoita kivipöytiä, joissa on jotain kirjoitusta
tai ylipäänsä työstöjälkiä. Väkikivien ajoituksesta ei ole tietoa, mutta oletettavasti
kyseessä on melko myöhäisiä rakenteita.
Voiko väkikivitulkintaa soveltaa myös muihin aineiston kivipöytiin? Pyhäjärven
kivipöydät ovat rakenteeltaan muista poikkeavia, mutta Castrénin mainitsemista muut
kivet voivat olla lopun aineiston kaltaisia. Kirjoitukselliset kivet taas ovat ilmeisesti
rakenteeltaan muiden kivipöytien kaltaisia; ainakin Nuija-Heikin väkikivi on kallion
päällä (Paasonen 1889: 146). Kivipöytiä on siis saatettu tehdä ilman mitään erityisempää
syytä. Tällaisessa tapauksessa niiden todellinen luonne tuskin ikinä paljastuu. ",Otto Aatunpojan väkikivi,,,,
sarkkinen2010,https://www.kyppi.fi/palveluikkuna/raportti/read/asp/r_raportti_det.aspx?RAPORTTI_ID=142087,Mika Sarkkinen,2010-07-29,2025-10-24,"Perimätiedon mukaan kyseessä on varsin nuori kohde, voimannäyttönä syntynyt
rakennelma, josta voi käyttää nimitystä ""väkikivet"". Vastaavia tarinoita on ainakin vanhoissa
kihlakuntakertomuksissa:  ""Alemman kjven pikkukivien päälle on nostanut joku Kananen ja ylemmen ja suurimman kiven Matti Pasanen Vuohtomäeltä. Pasanen kuoli pari vuotta sitten ehkä seitsenkymppisenä. Motiiviksi kiviasetelmiin Raimo arveli miesten keskeisen voiman näyttämisen"" ",Kaakkomäen väkikivet,,,,
urheilulehti01041911,https://digi.kansalliskirjasto.fi/aikakausi/binding/882323?term=v%C3%A4kikive%C3%A4&page=12,,1911-04-01,2025-10-22,"Ritolan isäntä on myös kova hiihtäjä ja on ensimäisen palkinnon ottaja ensimäisissä Haapaveden hiihtokilpailuissa noin 30 vuotta takaperin, sitäpaitsi on hän innokas urheilun harrastaja. Eipä Ritolasta vieras juuri päässyt, ennenkuin oli talon isännän kanssa »kissanhäntää» vetänyt, väkikiveä nostanut t. m. s.",,,,,
kauppisheikki1912,https://digi.kansalliskirjasto.fi/teos/binding/1915239?term=v%C3%A4kikiven&page=15,Kauppis-Heikki,1912-01-01,2025-10-22,"Nuoruuden ikäkaudella, jolloin muut katselevat itselleen elämänkumppania, oli Paavo saanut väkikiven nostoharrastuksen. Sitä ei kestänyt monta vuotta, mutta niin kokonaan se piti vallassaan, ettei hän tullut katsoneeksikaan hameväkeen päin. Paavon huomio oli niinä vuosina kääntynyt vankimman näköisiin miehiin, ja niiden täytyi olla peräti välinpitämättömiä voimainsa suuruudesta, jos eivät suostuneet väkikiven nostoon.",,,,,
pyrkija15031914,https://digi.kansalliskirjasto.fi/aikakausi/binding/954028?term=v%C3%A4kikiviksi&term=v%C3%A4kikivi&page=6,,1914-03-15,2025-10-22,"piirteitä pohjoiskarjalaisista kansanfyuueista ja
ajanoiettotauoista entisaikaan: Väkikivennosto oli myös suosittu kesäinen urheilu. Pihassa tai lähistöllä oli usein eri kokoisia kiviä vallanvasten väkikiviksi varattuja. Nämä kivet säilyivät välistä useamman sukupolven ajan omilla sopivasti valituilla paikoillaan esim. pellon pientarella. Jatkuvan harjoituksen kautta saavutettiin väkikivennostossa erinomaisia, myöhempää polvea ihmetyttäviä tuloksia. Kyllä muistaa näiden rivienkin kirjoittaja hämmästyksensä, kun hänelle näytettiin isoisänßä väkikivi. Poika ei ollut saanut sitä tuumaakaan nousemaan ja pojanpoika tuskin muuten kuin kankien avulla. Polvi heikkonee!",,,,,
