source_id,source_url,source_author,source_date,cite_date,notes_raw_fi,notes_raw_sv,notes_en,stone_name_fi,stone_name_sv,stone_name_en,event_date,location_info,stone_weight_kg,stone_dims_cm
laine1888,https://digi.kansalliskirjasto.fi/teos/binding/1915275?term=v%C3%A4kikive%C3%A4&page=36,Juho Laine,1888-01-01,2025-10-22,Kaunokirjallisuutta,,,,,,,,,
appelgren1891,https://digi.kansalliskirjasto.fi/teos/binding/2207176?term=nostokivist%C3%A4&page=208,Hjalmar Appelgren,1891-01-01,2025-10-22,"160. Säkkijärvi. Ristiniemen (Korsniis) kärjessä, meren rannalla on Reinholmin tietojen mukaan korkea kivikkomäki, joka on jyrkkä merellepäin. Maapuolella löytyy tässä 2 likitysten olevaa ympyröistä, harmaista nostokivistä ladottua aitaa, kumpikin noin 10 kyyn. ~lapimitaten"" (leveitä?); pituus ehkä 50 sylen paikoilla, korkeus joku kyynärä.",,"160. Säkkijärvi. At the tip of Ristiniemi (Korsniis), by the seashore, there is according to Reinholm’s information a high stony hill that drops steeply toward the sea. On the landward side there are two closely adjacent enclosures built of circular, grey nostokivi (lifting stones), each about 10 kyynärä in diameter (“~läpimitaten”; wide?); the length perhaps around 50 syli, the height some one kyynärä.",,,,,,,
turistforeningsarsbok01011898,https://digi.kansalliskirjasto.fi/aikakausi/binding/963868?term=v%C3%A4kikivi&page=58,, ,2025-10-22,"Nuija-Heikin väkikivi Synsiön kylässä Kangasniemellä on vähän matkaa koilliseen Vehkomäen talosta, taloon päin viettävällä kalliolla. Talon puoliselta suolta on Nuija-Heikki kansan puheen mukaan kantanut tuon kiven kalliolle. Se on länsipuolelta 150 ja itäpuolelta 75 cm korkea, 125 cm pitkä ja 60 cm paksu, eikä siis voi olla kanta-maila tuotu. Kiven kylkeen on joku rahvaan mies epäselvästi hakannut mainitun kiven nimen.",,"The **Nuija-Heikki väkikivi** in the village of Synsiö, Kangasniemi, is located a short distance northeast of the Vehkomäki farm, on a rocky outcrop that slopes toward the farm. According to popular tradition, Nuija-Heikki is said to have carried this stone from the bog on the farm side up onto the rock. The stone is 150 cm high on the western side and 75 cm on the eastern side, 125 cm long and 60 cm thick, and therefore cannot have been brought there by an ordinary carrying pole. On the side of the stone, some common man has indistinctly carved the name of the stone mentioned above.
",Nuija-Heikin väkikivi,,,,,,
leppanen2018,https://www.academia.edu/38489182/_Kivet_kipper%C3%A4ll%C3%A4_asemalla_Suomen_kivip%C3%B6ytien_rakenteen_ja_arkeologisen_kontekstin_analyysi,Jere Leppänen,2018-01-01,2025-10-23,"4.5. Väkikiviä?
Castrén (1886: 35–36) kertoo Haapajärven kihlakunnassa, tarkemmin Pyhäjärven
alueella, kivipöydistä puhuttavan väkikivinä. Castrénin mukaan nimitykset vaihtelevat eri
alueilla, ja toisaalla kiviin viitataan jättiläisten väkikivinä. Termi aukeaa Sarkkisen (2010)
Pyhäjärven Kaakkomäki idän kivipöydän tarkastuskertomuksessa: vuosi tarkastuksen
jälkeen Sarkkinen sai tiedonannon, jonka mukaan rakennelma olisi tehty 1940-luvulla,
mahdollisesti rakentajien voimien näytöksi. Kyseessä on siis luultavasti väkikivi.
Kivipöytä on muista poikkeava, sillä siinä on tasaisen maakiven päällä jalat, joiden päällä
keskikivi ja jonka päällä vielä pyöreä yläkivi. Väkikivi viittaa siis varta vasten kivien
nostamisen vuoksi tehtyihin kivipöytiin.
22
Castrénin kuvailema Haukilampien välissä oleva kivipöytä sijaitsee noin 2,5 km
lounaaseen Sarkkisen tarkastamasta kivestä. Myös Haukilampien rakennelmassa on
suuren maakiven päällä pieniä kiviä ja niiden päällä laakea kivi. Olisiko kyseessä jokin
mahdollisesti paikallinen, sittemmin unohdettu perinne? Castrén (1886: 38–42) kertoo
Pyhäjärven etelä- ja koillispuolella olevan runsaasti muita kivipöytiä. Useat niistä ovat
samalla alueella kuin Kaakkomäki idän ja Haukilampien kivipöydät. Castrén kuitenkin
itse epäilee suurinta osaa kivipöydistä luontaisiksi. Yksi Castrénin toisista tulkinnoista
on, että Haapajärven kihlakunnan kivipöydät olisivat topografien kartoitusmatkoillaan
tekemiä, mutta kyseenalaistaa itsekin tämän uskoen, että paikallinen väestö olisi
huomannut, jos kivipöytiä olisi yhtäkkisesti ilmaantunut metsään.
Väkikiviperinne ei rajoitu ainoastaan Pyhäjärven seudulle. Paasonen (1889: 146) kuvailee
Mikkelin kihlakunnassa kahta kivipöytää, jotka epäilemättä ovat väkikiviä. Paasosen
mukaan Nuija-Heikin väkikiven sileällä pinnalla teksti: ”TÄ_ON NVIH?IF?I VÄ KIVI”.
Hänen mukaansa kihlakunnasta löytyy myös toinen vastaava kivi, jossa on teksti: ”Otto
Aatunpojan väkikivi”. Kivet ovat ilmeisesti ainoita kivipöytiä, joissa on jotain kirjoitusta
tai ylipäänsä työstöjälkiä. Väkikivien ajoituksesta ei ole tietoa, mutta oletettavasti
kyseessä on melko myöhäisiä rakenteita.
Voiko väkikivitulkintaa soveltaa myös muihin aineiston kivipöytiin? Pyhäjärven
kivipöydät ovat rakenteeltaan muista poikkeavia, mutta Castrénin mainitsemista muut
kivet voivat olla lopun aineiston kaltaisia. Kirjoitukselliset kivet taas ovat ilmeisesti
rakenteeltaan muiden kivipöytien kaltaisia; ainakin Nuija-Heikin väkikivi on kallion
päällä (Paasonen 1889: 146). Kivipöytiä on siis saatettu tehdä ilman mitään erityisempää
syytä. Tällaisessa tapauksessa niiden todellinen luonne tuskin ikinä paljastuu. Mainittu lähde: Paasonen 1889: s. 146 (Paasonen, Julius 1889. Muinaisjäännöksiä ja -Muistoja Mikkelin kihlakunnassa.
Suomen Muinaismuistoyhdistyksen aikakauskirja X. Helsinki.)",,"4.5. Lifting stones (väkikiviä)?

Castrén (1886: 35–36) reports that in the kihlakunta of Haapajärvi, more specifically in the Pyhäjärvi area, so-called stone tables (kivipöydät) are referred to as väkikivet. According to Castrén, the terminology varies by region, and elsewhere the stones are described as giants’ lifting stones. The term is clarified in Sarkkinen (2010) in an inspection report on the eastern stone table of Kaakkomäki in Pyhäjärvi: a year after the inspection, Sarkkinen received information stating that the structure had been built in the 1940s, possibly as a demonstration of the builders’ strength. The structure is therefore likely a väkikivi.

The stone table in question differs from others in that it consists of a level ground stone serving as a base, upon which stand legs supporting a central stone, with a round capstone on top. Väkikivi thus appears to refer specifically to stone tables constructed expressly for the purpose of lifting stones.

The stone table described by Castrén between the Haukilampi lakes is located approximately 2.5 km southwest of the stone inspected by Sarkkinen. The Haukilampi structure likewise has small stones set upon a large ground stone, with a flat stone on top. Could this represent a local tradition that was later forgotten? Castrén (1886: 38–42) notes that there are numerous other stone tables south and northeast of Pyhäjärvi, many of them in the same area as the Kaakkomäki east and Haukilampi stone tables. Castrén himself, however, doubts that most of the stone tables are man-made. One of his alternative interpretations is that the stone tables of the Haapajärvi kihlakunta might have been constructed by topographers during their survey expeditions; yet he questions this as well, believing that the local population would have noticed if stone tables had suddenly appeared in the forest.

The väkikivi tradition is not confined solely to the Pyhäjärvi region. Paasonen (1889: 146) describes two stone tables in the kihlakunta of Mikkeli that are undoubtedly väkikivet. According to Paasonen, the smooth surface of the Nuija-Heikki väkikivi bears the inscription: “TÄ_ON NVIH?IF?I VÄ KIVI”. He further notes that another similar stone in the kihlakunta carries the inscription: “Otto Aatunpojan väkikivi”. These stones are apparently the only stone tables that bear inscriptions or any traces of working at all. The dating of the väkikivet is unknown, but they are presumably relatively late constructions.

Can the väkikivi interpretation be applied to other stone tables in the material? The Pyhäjärvi stone tables differ structurally from others, but the stones mentioned by Castrén may resemble those in the remainder of the material. The inscribed stones, for their part, appear to be structurally similar to other stone tables; at least the Nuija-Heikki väkikivi is situated on bare rock (Paasonen 1889: 146). Stone tables may thus have been constructed without any particular purpose. In such cases, their true nature is unlikely ever to be revealed.

Source cited: Paasonen 1889: p. 146 (Paasonen, Julius 1889. Muinaisjäännöksiä ja -muistoja Mikkelin kihlakunnassa).",Nuija-Heikin väkikivi,,,,"Kangasniemi, ETRSTM35FIN coordinates: E 476320, N 6884045",,120x60x75
uusisuometar07071876,https://digi.kansalliskirjasto.fi/sanomalehti/binding/426436?page=6,,1876-07-07,2025-12-05,"Hankasalmeen lohenneitten pitäjäläisten kanssa on waan kowat riidat kassain jakamisesta, sillä he tekewät niin tarkkaa, että kirkosta ynnä pappilan wirkataloista tahtowat osia. Ruiskaswit yleisesti huonon-puoleiset, waan suwi-touon oraat wähän paremmat. Heinät lupaawat hywää satoa. C. lämpömittari on päiwässä osottanut tänään 38½ ja yöllä 20½ astetta. Eihän silloin enään turkkia tarwita. Historiallisia wanhoja nimiä täällä löytyy 2 Hiidennientä, Hiidenluola, Hiislammin kangas, Lappi, Lapinpaasi, Käräjäniemi, Toranlahti, Pirttilahti ja -mäki, Terwamäki, Wawessaari, Lapinsalo, Ison Heikin wäkikiwi ja kalliokirjoitus Synsiön rannalla, Kerinkanta, Simpiö, Salwuri j. n. e.",,"Among the parishioners who have broken away to Hankasalmi, there are indeed fierce disputes over the division of parish funds, for they are so exacting that they demand shares even from the church itself and from the vicarage crown estates. The rye crops are generally on the poor side, but the summer grain seedlings are somewhat better. The hay meadows promise a good yield. The Celsius thermometer during the day has today shown 38½ degrees, and at night 20½ degrees. In such weather, a fur coat is no longer needed.

Old historical names are found here, including two places called Hiidenniemi, Hiidenluola, Hiislammin kangas, Lappi, Lapinpaasi, Käräjäniemi, Toranlahti, Pirttilahti and Pirttimäki, Tervamäki, Wawessaari, Lapinsalo, Ison Heikin väkikivi, and a rock carving on the shore of Synsiö, as well as Kerinkanta, Simpiö, Salwuri, and so forth.",Ison Heikin väkikivi (== Nuija-Heikin?),,,,"Kangasniemi, Hankasalmi, Synsiö",,
turistforeningsarsbok01011898,https://digi.kansalliskirjasto.fi/aikakausi/binding/963868?term=v%C3%A4kikivi&page=58,,1898-01-01,2025-10-22,"Jalassyrjän talon maalla Pirttiniemellä Siikajärven itärannalla kuuluu olevan samanlainen kivi, jossa on kirjoitus: Otto Aatunpojan väkikivi. Noiden nimien synnystä ei ole tietoa tallessa.",,"On the land of the Jalassyrjä farm at Pirttiniemi, on the eastern shore of Siikajärvi, there is said to be a similar stone bearing an inscription: Otto Aatunpojan väkikivi. The origin of these names is not known or preserved",Otto Aatunpojan väkikivi,,,,,,
leppanen2018,https://www.academia.edu/38489182/_Kivet_kipper%C3%A4ll%C3%A4_asemalla_Suomen_kivip%C3%B6ytien_rakenteen_ja_arkeologisen_kontekstin_analyysi,Jere Leppänen,2018-01-01,2025-10-23,"4.5. Väkikiviä?
Castrén (1886: 35–36) kertoo Haapajärven kihlakunnassa, tarkemmin Pyhäjärven
alueella, kivipöydistä puhuttavan väkikivinä. Castrénin mukaan nimitykset vaihtelevat eri
alueilla, ja toisaalla kiviin viitataan jättiläisten väkikivinä. Termi aukeaa Sarkkisen (2010)
Pyhäjärven Kaakkomäki idän kivipöydän tarkastuskertomuksessa: vuosi tarkastuksen
jälkeen Sarkkinen sai tiedonannon, jonka mukaan rakennelma olisi tehty 1940-luvulla,
mahdollisesti rakentajien voimien näytöksi. Kyseessä on siis luultavasti väkikivi.
Kivipöytä on muista poikkeava, sillä siinä on tasaisen maakiven päällä jalat, joiden päällä
keskikivi ja jonka päällä vielä pyöreä yläkivi. Väkikivi viittaa siis varta vasten kivien
nostamisen vuoksi tehtyihin kivipöytiin.
22
Castrénin kuvailema Haukilampien välissä oleva kivipöytä sijaitsee noin 2,5 km
lounaaseen Sarkkisen tarkastamasta kivestä. Myös Haukilampien rakennelmassa on
suuren maakiven päällä pieniä kiviä ja niiden päällä laakea kivi. Olisiko kyseessä jokin
mahdollisesti paikallinen, sittemmin unohdettu perinne? Castrén (1886: 38–42) kertoo
Pyhäjärven etelä- ja koillispuolella olevan runsaasti muita kivipöytiä. Useat niistä ovat
samalla alueella kuin Kaakkomäki idän ja Haukilampien kivipöydät. Castrén kuitenkin
itse epäilee suurinta osaa kivipöydistä luontaisiksi. Yksi Castrénin toisista tulkinnoista
on, että Haapajärven kihlakunnan kivipöydät olisivat topografien kartoitusmatkoillaan
tekemiä, mutta kyseenalaistaa itsekin tämän uskoen, että paikallinen väestö olisi
huomannut, jos kivipöytiä olisi yhtäkkisesti ilmaantunut metsään.
Väkikiviperinne ei rajoitu ainoastaan Pyhäjärven seudulle. Paasonen (1889: 146) kuvailee
Mikkelin kihlakunnassa kahta kivipöytää, jotka epäilemättä ovat väkikiviä. Paasosen
mukaan Nuija-Heikin väkikiven sileällä pinnalla teksti: ”TÄ_ON NVIH?IF?I VÄ KIVI”.
Hänen mukaansa kihlakunnasta löytyy myös toinen vastaava kivi, jossa on teksti: ”Otto
Aatunpojan väkikivi”. Kivet ovat ilmeisesti ainoita kivipöytiä, joissa on jotain kirjoitusta
tai ylipäänsä työstöjälkiä. Väkikivien ajoituksesta ei ole tietoa, mutta oletettavasti
kyseessä on melko myöhäisiä rakenteita.
Voiko väkikivitulkintaa soveltaa myös muihin aineiston kivipöytiin? Pyhäjärven
kivipöydät ovat rakenteeltaan muista poikkeavia, mutta Castrénin mainitsemista muut
kivet voivat olla lopun aineiston kaltaisia. Kirjoitukselliset kivet taas ovat ilmeisesti
rakenteeltaan muiden kivipöytien kaltaisia; ainakin Nuija-Heikin väkikivi on kallion
päällä (Paasonen 1889: 146). Kivipöytiä on siis saatettu tehdä ilman mitään erityisempää
syytä. Tällaisessa tapauksessa niiden todellinen luonne tuskin ikinä paljastuu. Lähde: Paasonen 1889: s. 146 (Paasonen, Julius 1889. Muinaisjäännöksiä ja -Muistoja Mikkelin kihlakunnassa.
Suomen Muinaismuistoyhdistyksen aikakauskirja X. Helsinki.)",,"4.5. Lifting stones (väkikiviä)?

Castrén (1886: 35–36) reports that in the kihlakunta of Haapajärvi, more specifically in the Pyhäjärvi area, so-called stone tables (kivipöydät) are referred to as väkikivet. According to Castrén, the terminology varies by region, and elsewhere the stones are described as giants’ lifting stones. The term is clarified in Sarkkinen (2010) in an inspection report on the eastern stone table of Kaakkomäki in Pyhäjärvi: a year after the inspection, Sarkkinen received information stating that the structure had been built in the 1940s, possibly as a demonstration of the builders’ strength. The structure is therefore likely a väkikivi.

The stone table in question differs from others in that it consists of a level ground stone serving as a base, upon which stand legs supporting a central stone, with a round capstone on top. Väkikivi thus appears to refer specifically to stone tables constructed expressly for the purpose of lifting stones.

The stone table described by Castrén between the Haukilampi lakes is located approximately 2.5 km southwest of the stone inspected by Sarkkinen. The Haukilampi structure likewise has small stones set upon a large ground stone, with a flat stone on top. Could this represent a local tradition that was later forgotten? Castrén (1886: 38–42) notes that there are numerous other stone tables south and northeast of Pyhäjärvi, many of them in the same area as the Kaakkomäki east and Haukilampi stone tables. Castrén himself, however, doubts that most of the stone tables are man-made. One of his alternative interpretations is that the stone tables of the Haapajärvi kihlakunta might have been constructed by topographers during their survey expeditions; yet he questions this as well, believing that the local population would have noticed if stone tables had suddenly appeared in the forest.

The väkikivi tradition is not confined solely to the Pyhäjärvi region. Paasonen (1889: 146) describes two stone tables in the kihlakunta of Mikkeli that are undoubtedly väkikivet. According to Paasonen, the smooth surface of the Nuija-Heikki väkikivi bears the inscription: “TÄ_ON NVIH?IF?I VÄ KIVI”. He further notes that another similar stone in the kihlakunta carries the inscription: “Otto Aatunpojan väkikivi”. These stones are apparently the only stone tables that bear inscriptions or any traces of working at all. The dating of the väkikivet is unknown, but they are presumably relatively late constructions.

Can the väkikivi interpretation be applied to other stone tables in the material? The Pyhäjärvi stone tables differ structurally from others, but the stones mentioned by Castrén may resemble those in the remainder of the material. The inscribed stones, for their part, appear to be structurally similar to other stone tables; at least the Nuija-Heikki väkikivi is situated on bare rock (Paasonen 1889: 146). Stone tables may thus have been constructed without any particular purpose. In such cases, their true nature is unlikely ever to be revealed.

Source cited: Paasonen 1889: p. 146 (Paasonen, Julius 1889. Muinaisjäännöksiä ja -muistoja Mikkelin kihlakunnassa).Suomen Muinaismuistoyhdistyksen aikakauskirja X. Helsinki.)",Otto Aatunpojan väkikivi,,,,"Kangasniemi, ETRSTM35FIN coordinates: E 467987, N 6891331",,
kaiku13041898,https://digi.kansalliskirjasto.fi/sanomalehti/binding/536864?term=Nostokiwi%C3%A4&page=4,,1898-04-13,2025-10-22,"Nostokiwiä -
Myytävän kestikievaritalosta",,,,,,,,,
urheilulehti01041911,https://digi.kansalliskirjasto.fi/aikakausi/binding/882323?term=v%C3%A4kikive%C3%A4&page=12,,1911-04-01,2025-10-22,"Ritolan isäntä on myös kova hiihtäjä ja on ensimäisen palkinnon ottaja ensimäisissä Haapaveden hiihtokilpailuissa noin 30 vuotta takaperin, sitäpaitsi on hän innokas urheilun harrastaja. Eipä Ritolasta vieras juuri päässyt, ennenkuin oli talon isännän kanssa »kissanhäntää» vetänyt, väkikiveä nostanut t. m. s.
Ukolla on lisäksi verraton supliikki ja muisti, että kyllä hänellä juttelemista piisaa (liekö sitten kaikki juttunsa tosia), ja jos sattuisi maanpäälliset asiat loppumaan niin riittää ukolla omia ajatuksia tulevaisiin maailmoihinkin — vaan melkeinpä mieluisimmat puheenaineet ovat hänestä urheilua ja urheilijoita koskettelevat. Ukon tarkassa muistissa on muotiurheilun ennätyksiäkin — eikä ainoastaan hiihtohommiin kuuluvia. Tuntuupa monasti että tuossa syrjäisessä sydänmaan talossa harrastetaan ja toimitaan enemmän urheilun hyväksi, kuin monen varakkaan liikekeskuksissa asuvan urheilunharrastajan luona. Lämmin kädenlyönti lujakouraiselle Ukko Ritolalle.",,"The master of the Ritola farm is also a formidable skier and was the winner of the first prize in the very first Haapavesi skiing competitions some thirty years ago; in addition, he is an ardent devotee of sport. A visitor scarcely managed to leave Ritola before having pulled “the cat’s tail” with the master of the house, lifted a väkikivi, or engaged in the like.

The old man also possesses an incomparable gift of the gab and a remarkable memory, so that he never lacks for stories (whether all of them are true is another matter); and should earthly matters happen to run out, he has thoughts of his own enough for worlds to come as well—yet almost his favorite topics of conversation are those touching upon sport and sportsmen. In his precise memory reside records of fashionable sports too—and not only those related to skiing. It often seems that in that remote backwoods homestead more is done and pursued for the benefit of sport than in the homes of many a wealthy sports enthusiast living in commercial centers. A warm handshake to stout-fisted Old Man Ritola.",,,,,,,
kauppisheikki1912,https://digi.kansalliskirjasto.fi/teos/binding/1915239?term=v%C3%A4kikiven&page=15,Kauppis-Heikki,1912-01-01,2025-10-22,"Paavo ei ollut yksinäisyydessä elävä murjottuja, jollaiseksi hänet olisi luullut kasvoista katsoen, vaan oikea harrastusten mies. Hänellä oli useampia tuttavia kuin monella kauniimmalla, sillä jokainen tiesi että minkä asian Paavo ottaa ajaakseen, sitä ei keskeytä muu kuin kuolema tai lavantauti. Mutta Paavo ei ottanutkaan harrastaakseen yhtäaikaa kaiken maailman asioita. Yksi asia kerrallaan ja lujasti, se oli hänen työjärjestyksensä.
Nuoruuden ikäkaudella, jolloin muut katselevat itselleen elämänkumppania, oli Paavo saanut väkikiven nostoharrastuksen. Sitä ei kestänyt monta vuotta, mutta niin kokonaan se piti vallassaan, ettei hän tullut katsoneeksikaan hameväkeen päin. Paavon huomio oli niinä vuosina kääntynyt vankimman näköisiin miehiin, ja niiden täytyi olla peräti välinpitämättömiä voimainsa suuruudesta, jos eivät suostuneet väkikiven nostoon.",,"Paavo was not a sulking recluse, as one might have assumed from his appearance, but a true man of pursuits. He had more acquaintances than many a more handsome fellow, for everyone knew that whatever cause Paavo took upon himself, nothing would interrupt it except death or typhoid fever. Yet Paavo did not set out to pursue all manner of things at once. One thing at a time, and with determination—that was his order of work.

In his youthful years, when others are looking for a life companion, Paavo had taken up the pursuit of lifting väkikivi. It did not last many years, but it held him so completely in its grip that he did not so much as glance toward the womenfolk. During those years Paavo’s attention was turned toward the men who appeared the strongest, and they had to be utterly indifferent to the magnitude of their own strength if they refused to take part in lifting the väkikivi.",,,,,,,
